City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
485,tautira,-17.7333,-149.15,26.3,78,0,1.66,PF,1687683669
486,meadow lake,34.8014,-106.5436,21.74,8,0,1.85,US,1687683775
487,college,64.8569,-147.8028,16.61,81,100,1.58,US,1687683602
488,santa rosa,14.3122,121.1114,31.17,72,100,3.97,PH,1687683596
489,teutonia,-29.4481,-51.8064,17.13,94,47,1.9,BR,1687683477
490,san jose,37.3394,-121.895,14.71,73,100,3.09,US,1687683603
491,maua,-23.6678,-46.4614,16.16,87,0,1.31,BR,1687683641
492,vangaindrano,-23.35,47.6,21.15,55,2,2.86,MG,1687683776
493,shingu,33.7333,135.9833,24.72,79,100,0.35,JP,1687683776
494,ust-kuyga,70.0167,135.6,23.86,41,99,2.28,RU,1687683776
495,porto novo,6.4965,2.6036,26.9,76,100,4.63,BJ,1687683777
496,yatou,37.15,122.3833,22.56,79,100,5.11,CN,1687683777
497,erenhot,43.6475,111.9767,32.96,15,100,5.65,CN,1687683777
498,canon city,38.441,-105.2424,17.57,65,0,0.89,US,1687683714
499,manoel urbano,-8.8389,-69.2597,23.09,91,100,0.84,BR,1687683778
500,takapau,-40.0333,176.35,9.85,98,92,2.06,NZ,1687683778
501,meulaboh,4.1363,96.1285,28.86,71,97,2.06,ID,1687683778
502,laguna,38.421,-121.4238,15.01,80,0,3.6,US,1687683549
503,mpulungu,-8.7623,31.1141,27.68,35,62,1.34,ZM,1687683778
504,oranjestad,12.524,-70.027,27.73,89,49,1.79,AW,1687683779
505,mosquera,4.7059,-74.2302,14.05,72,40,1.54,CO,1687683692
506,faya,18.3851,42.4509,30.29,20,7,3.38,SA,1687683779
507,kindu,-2.95,25.95,26.06,79,64,1.06,CD,1687683779
508,bamako,12.65,-8.0,27.23,83,0,3.6,ML,1687683673
509,maragogi,-9.0122,-35.2225,23.7,87,30,5.14,BR,1687683728
510,springfield,37.2153,-93.2982,25.66,91,0,3.09,US,1687683483
511,salalah,17.0151,54.0924,32.05,74,40,5.66,OM,1687683780
512,mercedes,-34.6515,-59.4307,9.88,88,43,2.64,AR,1687683780
513,wewak,-3.5534,143.6268,26.4,84,100,5.44,PG,1687683781
514,centralia,46.7162,-122.9543,12.57,93,0,0.0,US,1687683681
515,kajaani,64.2273,27.7285,21.03,60,0,1.54,FI,1687683781
516,baymak,52.5933,58.3225,12.39,82,100,1.87,RU,1687683782
517,kavieng,-2.5744,150.7967,27.49,75,44,4.33,PG,1687683782
